   2018      7     12   12.00       264.00   0.17219E+02   0.00000E+00   0.17219E+02   0.17308E+02   0.17352E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.19844E+02   0.44937E+02  -0.10671E+03  -0.56910E+02   0.29387E-02   0.95235E-05   0.47754E-03       0.16     135.90     0.0000  0.00   0.37608E-01   0.32475E+00    17.2923    17.3141    17.3206    17.3274    17.3499
   2018      7     13   12.00       288.00   0.17195E+02   0.00000E+00   0.17195E+02   0.17269E+02   0.17311E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16100E+02   0.39637E+02  -0.10370E+03  -0.58509E+02   0.22679E-02   0.72079E-05   0.30171E-03       0.16     150.06     0.0000  0.00   0.15762E-01  -0.31239E+00    17.2557    17.2734    17.2788    17.2852    17.3082
   2018      7     14   12.00       312.00   0.16942E+02   0.00000E+00   0.16942E+02   0.17053E+02   0.17112E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23293E+02   0.50524E+02  -0.14229E+03  -0.71015E+02   0.25167E-02   0.11059E-04   0.79505E-03       0.16     168.32     0.0000  0.00   0.82740E-02   0.30896E+00    17.0352    17.0595    17.0666    17.0762    17.1048
   2018      7     15   12.00       336.00   0.15566E+02   0.00000E+00   0.15566E+02   0.15919E+02   0.16045E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.43356E+02   0.96615E+02  -0.22155E+03  -0.94364E+02   0.53705E-02   0.46276E-04   0.71675E-02       0.16     183.54     0.0000  0.00   0.39389E-01   0.30112E+01    15.8621    15.9314    15.9700    15.9907    16.0275
   2018      7     16   12.00       360.00   0.13924E+02   0.00000E+00   0.13924E+02   0.14311E+02   0.14421E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.41168E+02   0.99409E+02  -0.21009E+03  -0.94809E+02   0.66820E-02   0.11368E-03   0.18680E-01       0.16     167.31     0.0000  0.00   0.10434E+00   0.43096E+01    14.2561    14.3330    14.3534    14.3670    14.4044
   2018      7     17   12.00       384.00   0.12763E+02   0.00000E+00   0.12763E+02   0.13056E+02   0.13151E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38624E+02   0.78135E+02  -0.16320E+03  -0.81424E+02   0.88677E-02   0.33177E-03   0.53035E-01       0.16     138.71     0.0000  0.00   0.26042E+00   0.55111E+01    13.0139    13.0724    13.0889    13.1016    13.1361
   2018      7     18   12.00       408.00   0.11959E+02   0.00000E+00   0.11959E+02   0.12236E+02   0.12358E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39684E+02   0.76408E+02  -0.15202E+03  -0.79778E+02   0.98028E-02   0.39722E-03   0.76376E-01       0.16     138.18     0.0000  0.00   0.27247E+00   0.75927E+01    12.1910    12.2380    12.2765    12.3091    12.3435
   2018      7     19   12.00       432.00   0.11442E+02   0.00000E+00   0.11442E+02   0.11688E+02   0.11773E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34688E+02   0.67885E+02  -0.14310E+03  -0.86226E+02   0.80911E-02   0.27325E-03   0.42629E-01       0.16     162.32     0.0000  0.00   0.12276E+00   0.67068E+01    11.6547    11.6979    11.7148    11.7279    11.7642
   2018      7     20   12.00       456.00   0.11721E+02   0.00000E+00   0.11721E+02   0.11878E+02   0.11952E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23732E+02   0.50712E+02  -0.12193E+03  -0.78590E+02   0.49789E-02   0.35882E-04   0.54798E-02       0.17     163.01     0.0000  0.00   0.87593E-01   0.17914E+01    11.8502    11.8883    11.8987    11.9104    11.9451
   2018      7     21   12.00       480.00   0.12012E+02   0.00000E+00   0.12012E+02   0.12119E+02   0.12175E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16607E+02   0.38374E+02  -0.99835E+02  -0.65346E+02   0.35856E-02   0.16711E-04   0.21251E-02       0.17     137.45     0.0000  0.00   0.22741E-01  -0.10363E+01    12.0980    12.1254    12.1338    12.1431    12.1720
   2018      7     22   12.00       504.00   0.12126E+02   0.00000E+00   0.12126E+02   0.12225E+02   0.12275E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18090E+02   0.35992E+02  -0.88569E+02  -0.55000E+02   0.47169E-02   0.67754E-04   0.75986E-02       0.17     111.38     0.0000  0.00   0.73599E-01   0.11695E+00    12.2075    12.2310    12.2386    12.2465    12.2708
   2018      7     23   12.00       528.00   0.11894E+02   0.00000E+00   0.11894E+02   0.12067E+02   0.12138E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21320E+02   0.48430E+02  -0.99533E+02  -0.59390E+02   0.79679E-02   0.21558E-03   0.35403E-01       0.17     119.50     0.0000  0.00   0.19669E+00   0.51218E+01    12.0397    12.0710    12.0918    12.1036    12.1323
   2018      7     24   12.00       552.00   0.12189E+02   0.00000E+00   0.12189E+02   0.12310E+02   0.12373E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15370E+02   0.49907E+02  -0.10859E+03  -0.72951E+02   0.55346E-02   0.86426E-04   0.92375E-02       0.17     170.81     0.0000  0.00   0.62241E-01   0.31037E+01    12.2903    12.3162    12.3252    12.3353    12.3658
   2018      7     25   12.00       576.00   0.13280E+02   0.00000E+00   0.13280E+02   0.13327E+02   0.13376E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.59065E+01   0.27081E+02  -0.86598E+02  -0.71178E+02   0.22782E-02   0.67700E-05   0.37414E-03       0.17     200.05     0.0000  0.00  -0.10888E-01   0.11359E+00    13.3162    13.3294    13.3345    13.3428    13.3745
   2018      7     26   12.00       600.00   0.14350E+02   0.00000E+00   0.14350E+02   0.14438E+02   0.14490E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.37688E+01   0.45783E+02  -0.95279E+02  -0.64520E+02   0.43060E-02   0.20864E-04   0.26343E-02       0.17     187.25     0.0000  0.00  -0.51923E-01  -0.16063E+01    14.4214    14.4425    14.4495    14.4582    14.4861
   2018      7     27   12.00       624.00   0.15204E+02   0.00000E+00   0.15204E+02   0.15249E+02   0.15284E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28057E+01   0.30533E+02  -0.66246E+02  -0.43568E+02   0.32285E-02   0.10429E-04   0.87571E-03       0.17     140.73     0.0000  0.00   0.10342E-01  -0.94721E+00    15.2390    15.2524    15.2568    15.2626    15.2837
   2018      7     28   12.00       648.00   0.15502E+02   0.00000E+00   0.15502E+02   0.15569E+02   0.15605E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.90133E+01   0.34588E+02  -0.70560E+02  -0.36124E+02   0.37765E-02   0.12406E-04   0.12513E-02       0.17     111.54     0.0000  0.00   0.61472E-01  -0.46616E+00    15.5552    15.5737    15.5788    15.5841    15.6036
   2018      7     29   12.00       672.00   0.15496E+02   0.00000E+00   0.15496E+02   0.15581E+02   0.15619E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14875E+02   0.38625E+02  -0.80447E+02  -0.38389E+02   0.39712E-02   0.13670E-04   0.15786E-02       0.17     111.61     0.0000  0.00   0.70803E-01  -0.11293E+00    15.5653    15.5873    15.5932    15.5992    15.6172
   2018      7     30   12.00       696.00   0.15513E+02   0.00000E+00   0.15513E+02   0.15588E+02   0.15625E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14961E+02   0.36217E+02  -0.78751E+02  -0.42439E+02   0.34346E-02   0.11394E-04   0.97880E-03       0.17     125.58     0.0000  0.00   0.36489E-01   0.77919E+00    15.5731    15.5928    15.5984    15.6046    15.6238
   2018      7     31   12.00       720.00   0.15656E+02   0.00000E+00   0.15656E+02   0.15765E+02   0.15809E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20106E+02   0.45141E+02  -0.96088E+02  -0.45009E+02   0.39462E-02   0.19821E-04   0.24467E-02       0.17     128.86     0.0000  0.00   0.60772E-01   0.41739E+00    15.7466    15.7723    15.7790    15.7860    15.8058
   2018      8      1   12.00       744.00   0.14847E+02   0.00000E+00   0.14847E+02   0.15082E+02   0.15144E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33510E+02   0.67400E+02  -0.12890E+03  -0.47198E+02   0.71799E-02   0.13035E-03   0.19845E-01       0.17      99.97     0.0000  0.00   0.22146E+00   0.10321E+00    15.0494    15.0951    15.1062    15.1137    15.1341
   2018      8      2   12.00       768.00   0.13721E+02   0.00000E+00   0.13721E+02   0.13952E+02   0.14015E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32180E+02   0.60182E+02  -0.12275E+03  -0.50360E+02   0.75425E-02   0.20734E-03   0.27215E-01       0.18      96.77     0.0000  0.00   0.17701E+00   0.39647E+01    13.9224    13.9646    13.9757    13.9844    14.0071
   2018      8      3   12.00       792.00   0.12961E+02   0.00000E+00   0.12961E+02   0.13204E+02   0.13284E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.27368E+02   0.64855E+02  -0.12754E+03  -0.61128E+02   0.83112E-02   0.28987E-03   0.45797E-01       0.18     126.43     0.0000  0.00   0.16862E-01   0.75795E+01    13.1680    13.2154    13.2334    13.2451    13.2742
   2018      8      4   12.00       816.00   0.12720E+02   0.00000E+00   0.12720E+02   0.12923E+02   0.12994E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.26329E+02   0.61460E+02  -0.13185E+03  -0.73034E+02   0.82425E-02   0.33455E-03   0.40574E-01       0.18     165.30     0.0000  0.00   0.63994E-01   0.68168E+01    12.8970    12.9319    12.9420    12.9534    12.9837
   2018      8      5   12.00       840.00   0.12616E+02   0.00000E+00   0.12616E+02   0.12881E+02   0.12965E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32178E+02   0.76892E+02  -0.16520E+03  -0.82516E+02   0.76645E-02   0.25255E-03   0.30492E-01       0.18     184.69     0.0000  0.00   0.10200E+00   0.57422E+01    12.8468    12.8933    12.9066    12.9185    12.9518
   2018      8      6   12.00       864.00   0.12293E+02   0.00000E+00   0.12293E+02   0.12528E+02   0.12621E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.26654E+02   0.73518E+02  -0.16867E+03  -0.93854E+02   0.56796E-02   0.77899E-04   0.10059E-01       0.18     214.80     0.0000  0.00  -0.17859E-01   0.35742E+01    12.4926    12.5412    12.5540    12.5677    12.6063
   2018      8      7   12.00       888.00   0.12969E+02   0.00000E+00   0.12969E+02   0.13141E+02   0.13226E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21433E+02   0.55228E+02  -0.15847E+03  -0.98342E+02   0.42942E-02   0.21473E-04   0.26642E-02       0.18     255.52     0.0000  0.00  -0.34716E-01   0.18193E+01    13.1121    13.1509    13.1617    13.1765    13.2175
   2018      8      8   12.00       912.00   0.13794E+02   0.00000E+00   0.13794E+02   0.13948E+02   0.14027E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20626E+02   0.57867E+02  -0.15727E+03  -0.92317E+02   0.42776E-02   0.19996E-04   0.23369E-02       0.18     247.94     0.0000  0.00  -0.51795E-01   0.15048E+01    13.9206    13.9567    13.9669    13.9808    14.0189
   2018      8      9   12.00       936.00   0.14246E+02   0.00000E+00   0.14246E+02   0.14386E+02   0.14452E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20532E+02   0.51822E+02  -0.13249E+03  -0.69034E+02   0.42603E-02   0.19004E-04   0.22649E-02       0.18     183.64     0.0000  0.00  -0.59966E-01   0.13044E+01    14.3609    14.3944    14.4035    14.4149    14.4455
   2018      8     10   12.00       960.00   0.14038E+02   0.00000E+00   0.14038E+02   0.14179E+02   0.14233E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21455E+02   0.47849E+02  -0.10626E+03  -0.46563E+02   0.48641E-02   0.30454E-04   0.43262E-02       0.18     112.07     0.0000  0.00  -0.76729E-01   0.17352E+01    14.1558    14.1886    14.1970    14.2053    14.2271
   2018      8     11   12.00       984.00   0.13341E+02   0.00000E+00   0.13341E+02   0.13539E+02   0.13595E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25910E+02   0.51224E+02  -0.11102E+03  -0.45982E+02   0.58772E-02   0.61856E-04   0.94388E-02       0.18      95.91     0.0000  0.00  -0.11553E+00   0.24018E+01    13.5095    13.5507    13.5608    13.5682    13.5897
   2018      8     12   12.00      1008.00   0.12553E+02   0.00000E+00   0.12553E+02   0.12759E+02   0.12822E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.27367E+02   0.56750E+02  -0.12270E+03  -0.54382E+02   0.58841E-02   0.79759E-04   0.98322E-02       0.18     107.75     0.0000  0.00  -0.73414E-01   0.31115E+01    12.7305    12.7708    12.7812    12.7895    12.8132
   2018      8     13   12.00      1032.00   0.12311E+02   0.00000E+00   0.12311E+02   0.12411E+02   0.12458E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17631E+02   0.32405E+02  -0.85040E+02  -0.48093E+02   0.32361E-02   0.25700E-04   0.31286E-02       0.19     108.16     0.0000  0.00   0.83717E-02  -0.53205E-01    12.3927    12.4165    12.4238    12.4312    12.4543
   2018      8     14   12.00      1056.00   0.12356E+02   0.00000E+00   0.12356E+02   0.12449E+02   0.12497E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20085E+02   0.33102E+02  -0.86865E+02  -0.50333E+02   0.37656E-02   0.30170E-04   0.33281E-02       0.19     118.83     0.0000  0.00  -0.23669E-01  -0.62442E+00    12.4319    12.4548    12.4622    12.4699    12.4932
   2018      8     15   12.00      1080.00   0.12351E+02   0.00000E+00   0.12351E+02   0.12499E+02   0.12559E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23058E+02   0.47908E+02  -0.11293E+03  -0.59138E+02   0.40939E-02   0.21499E-04   0.31672E-02       0.19     137.92     0.0000  0.00  -0.52313E-02   0.14137E+01    12.4727    12.5084    12.5180    12.5278    12.5545
   2018      8     16   12.00      1104.00   0.12326E+02   0.00000E+00   0.12326E+02   0.12418E+02   0.12468E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15176E+02   0.38919E+02  -0.96751E+02  -0.54097E+02   0.32283E-02   0.13028E-04   0.13758E-02       0.19     127.33     0.0000  0.00   0.29531E-01  -0.26974E+00    12.3994    12.4245    12.4320    12.4406    12.4649
   2018      8     17   12.00      1128.00   0.12447E+02   0.00000E+00   0.12447E+02   0.12517E+02   0.12555E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.78170E+01   0.28236E+02  -0.62298E+02  -0.39018E+02   0.49068E-02   0.43338E-04   0.47043E-02       0.19      96.64     0.0000  0.00  -0.47039E-01  -0.23764E+01    12.5035    12.5201    12.5266    12.5321    12.5532
   2018      8     18   12.00      1152.00   0.13105E+02   0.00000E+00   0.13105E+02   0.13108E+02   0.13136E+02   0.00000E+00   0.00000E+00   0.00000E+00  -0.22817E+00   0.71880E+01  -0.25798E+02  -0.29279E+02   0.36868E-02   0.15534E-04   0.17239E-02       0.19      98.14     0.0000  0.00  -0.15538E-01  -0.14515E+01    13.1066    13.1070    13.1091    13.1125    13.1356
   2018      8     19   12.00      1176.00   0.13981E+02   0.00000E+00   0.13981E+02   0.14012E+02   0.14047E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.34652E+01   0.17551E+02  -0.47489E+02  -0.34642E+02   0.33377E-02   0.93711E-05   0.88453E-03       0.19     120.02     0.0000  0.00   0.23441E-01  -0.10891E+01    14.0044    14.0134    14.0170    14.0216    14.0474
   2018      8     20   12.00      1200.00   0.14524E+02   0.00000E+00   0.14524E+02   0.14569E+02   0.14608E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.86026E+01   0.23317E+02  -0.66039E+02  -0.39174E+02   0.31067E-02   0.91778E-05   0.53047E-03       0.19     128.56     0.0000  0.00   0.37487E-01  -0.37130E+00    14.5583    14.5727    14.5772    14.5824    14.6077
   2018      8     21   12.00      1224.00   0.14640E+02   0.00000E+00   0.14640E+02   0.14758E+02   0.14801E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17948E+02   0.39916E+02  -0.91714E+02  -0.38925E+02   0.53247E-02   0.46470E-04   0.62638E-02       0.19     112.45     0.0000  0.00   0.12665E+00  -0.60122E-01    14.7391    14.7647    14.7718    14.7782    14.7962
   2018      8     22   12.00      1248.00   0.13930E+02   0.00000E+00   0.13930E+02   0.14116E+02   0.14166E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22454E+02   0.48673E+02  -0.97705E+02  -0.35527E+02   0.79203E-02   0.18487E-03   0.30184E-01       0.19      80.20     0.0000  0.00   0.27049E+00   0.63612E+00    14.0908    14.1254    14.1361    14.1428    14.1605
   2018      8     23   12.00      1272.00   0.13145E+02   0.00000E+00   0.13145E+02   0.13295E+02   0.13336E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21625E+02   0.41478E+02  -0.82990E+02  -0.31121E+02   0.83695E-02   0.28897E-03   0.36455E-01       0.20      59.47     0.0000  0.00   0.27135E+00   0.31161E+01    13.2768    13.3022    13.3094    13.3158    13.3308
   2018      8     24   12.00      1296.00   0.12676E+02   0.00000E+00   0.12676E+02   0.12763E+02   0.12800E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13819E+02   0.28761E+02  -0.61672E+02  -0.32482E+02   0.56998E-02   0.83332E-04   0.85544E-02       0.20      72.69     0.0000  0.00   0.13095E+00   0.50823E+00    12.7489    12.7675    12.7741    12.7792    12.7971
   2018      8     25   12.00      1320.00   0.12970E+02   0.00000E+00   0.12970E+02   0.13026E+02   0.13062E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.95069E+01   0.20205E+02  -0.60703E+02  -0.40178E+02   0.30010E-02   0.13897E-04   0.17367E-02       0.20     113.02     0.0000  0.00  -0.94063E-02  -0.22143E+00    13.0151    13.0294    13.0343    13.0401    13.0607
   2018      8     26   12.00      1344.00   0.12845E+02   0.00000E+00   0.12845E+02   0.13067E+02   0.13131E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22248E+02   0.55997E+02  -0.11524E+03  -0.51798E+02   0.64038E-02   0.10350E-03   0.15116E-01       0.20     121.16     0.0000  0.00  -0.11371E+00   0.33258E+01    13.0359    13.0792    13.0897    13.0979    13.1222
   2018      8     27   12.00      1368.00   0.12396E+02   0.00000E+00   0.12396E+02   0.12563E+02   0.12617E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18324E+02   0.42171E+02  -0.90603E+02  -0.43508E+02   0.52237E-02   0.50922E-04   0.85605E-02       0.20      95.01     0.0000  0.00   0.54168E-01   0.20257E+01    12.5385    12.5731    12.5821    12.5896    12.6122
   2018      8     28   12.00      1392.00   0.12058E+02   0.00000E+00   0.12058E+02   0.12185E+02   0.12227E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20110E+02   0.31422E+02  -0.71954E+02  -0.33287E+02   0.72581E-02   0.16711E-03   0.20212E-01       0.20      65.24     0.0000  0.00   0.21954E+00   0.13515E+01    12.1674    12.1916    12.1990    12.2056    12.2228
   2018      8     29   12.00      1416.00   0.11751E+02   0.00000E+00   0.11751E+02   0.11854E+02   0.11894E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14570E+02   0.27139E+02  -0.63869E+02  -0.33837E+02   0.59013E-02   0.75422E-04   0.95369E-02       0.20      70.15     0.0000  0.00   0.14935E+00   0.56853E+00    11.8369    11.8591    11.8666    11.8720    11.8918
   2018      8     30   12.00      1440.00   0.11693E+02   0.00000E+00   0.11693E+02   0.11798E+02   0.11846E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13356E+02   0.30255E+02  -0.79062E+02  -0.45344E+02   0.54707E-02   0.51607E-04   0.64509E-02       0.20     105.63     0.0000  0.00   0.11055E+00  -0.16744E+01    11.7801    11.8040    11.8123    11.8186    11.8423
   2018      8     31   12.00      1464.00   0.11992E+02   0.00000E+00   0.11992E+02   0.12058E+02   0.12098E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.94879E+01   0.19644E+02  -0.73020E+02  -0.45608E+02   0.25567E-02   0.10021E-04   0.10233E-02       0.20     118.78     0.0000  0.00   0.37574E-02  -0.19424E+00    12.0448    12.0616    12.0673    12.0742    12.0967
   2018      9      1   12.00      1488.00   0.11927E+02   0.00000E+00   0.11927E+02   0.12042E+02   0.12091E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17764E+02   0.33216E+02  -0.89602E+02  -0.42307E+02   0.40363E-02   0.17825E-04   0.20476E-02       0.21      94.29     0.0000  0.00  -0.28403E-01   0.15083E+01    12.0196    12.0498    12.0581    12.0659    12.0880
   2018      9      2   12.00      1512.00   0.11500E+02   0.00000E+00   0.11500E+02   0.11610E+02   0.11655E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17573E+02   0.28962E+02  -0.78506E+02  -0.37505E+02   0.37663E-02   0.13980E-04   0.15557E-02       0.21      75.25     0.0000  0.00   0.39131E-01   0.12140E+01    11.5892    11.6183    11.6263    11.6334    11.6530
   2018      9      3   12.00      1536.00   0.11187E+02   0.00000E+00   0.11187E+02   0.11288E+02   0.11334E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.16637E+02   0.28610E+02  -0.78342E+02  -0.39707E+02   0.40513E-02   0.14531E-04   0.17537E-02       0.21      82.01     0.0000  0.00   0.72372E-01   0.39958E+00    11.2680    11.2955    11.3034    11.3106    11.3322
   2018      9      4   12.00      1560.00   0.11018E+02   0.00000E+00   0.11018E+02   0.11109E+02   0.11156E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13303E+02   0.24875E+02  -0.72655E+02  -0.39337E+02   0.38029E-02   0.15663E-04   0.18003E-02       0.21      84.52     0.0000  0.00   0.36956E-01  -0.10607E+01    11.0899    11.1151    11.1227    11.1293    11.1555
   2018      9      5   12.00      1584.00   0.10772E+02   0.00000E+00   0.10772E+02   0.10883E+02   0.10927E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14851E+02   0.26839E+02  -0.70432E+02  -0.34865E+02   0.55240E-02   0.70869E-04   0.81417E-02       0.21      66.93     0.0000  0.00   0.97127E-01  -0.18723E+01    10.8649    10.8892    10.8977    10.9033    10.9245
   2018      9      6   12.00      1608.00   0.10451E+02   0.00000E+00   0.10451E+02   0.10552E+02   0.10594E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12157E+02   0.25585E+02  -0.63568E+02  -0.33532E+02   0.54757E-02   0.85216E-04   0.98625E-02       0.21      63.40     0.0000  0.00   0.63222E-01   0.19535E+01    10.5354    10.5572    10.5651    10.5708    10.5924
   2018      9      7   12.00      1632.00   0.10309E+02   0.00000E+00   0.10309E+02   0.10400E+02   0.10445E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.91264E+01   0.27547E+02  -0.62520E+02  -0.36061E+02   0.48827E-02   0.68195E-04   0.88650E-02       0.21      73.95     0.0000  0.00   0.48483E-01   0.11069E+01    10.3835    10.4057    10.4131    10.4193    10.4433
