   2018      7     14   12.00       312.00   0.15003E+02   0.00000E+00   0.15003E+02   0.15088E+02   0.15136E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.14511E+02   0.33499E+02  -0.10606E+03  -0.36130E+02   0.24993E-02   0.26978E-04   0.83268E-03       0.16     168.32     0.0000  0.00   0.68079E-02   0.28739E+00    15.0697    15.0912    15.0979    15.1037    15.1339
   2018      7     15   12.00       336.00   0.14195E+02   0.00000E+00   0.14195E+02   0.14503E+02   0.14610E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.33062E+02   0.78240E+02  -0.18560E+03  -0.55960E+02   0.53654E-02   0.11095E-03   0.71624E-02       0.16     183.54     0.0000  0.00   0.33624E-01   0.27779E+01    14.4419    14.5083    14.5439    14.5626    14.5959
   2018      7     16   12.00       360.00   0.12956E+02   0.00000E+00   0.12956E+02   0.13336E+02   0.13433E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.32702E+02   0.85545E+02  -0.18269E+03  -0.59185E+02   0.66704E-02   0.23570E-03   0.18822E-01       0.16     167.31     0.0000  0.00   0.88245E-01   0.40157E+01    13.2719    13.3522    13.3735    13.3863    13.4210
   2018      7     17   12.00       384.00   0.12120E+02   0.00000E+00   0.12120E+02   0.12379E+02   0.12449E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.32258E+02   0.68521E+02  -0.14389E+03  -0.51181E+02   0.89677E-02   0.67103E-03   0.51073E-01       0.16     138.71     0.0000  0.00   0.23261E+00   0.53161E+01    12.3373    12.3881    12.4025    12.4113    12.4403
   2018      7     18   12.00       408.00   0.11494E+02   0.00000E+00   0.11494E+02   0.11740E+02   0.11832E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.34818E+02   0.69381E+02  -0.13774E+03  -0.51254E+02   0.99089E-02   0.83069E-03   0.73829E-01       0.16     138.18     0.0000  0.00   0.24652E+00   0.74257E+01    11.6936    11.7361    11.7754    11.7910    11.8215
   2018      7     19   12.00       432.00   0.11041E+02   0.00000E+00   0.11041E+02   0.11283E+02   0.11407E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.30716E+02   0.62256E+02  -0.13145E+03  -0.59063E+02   0.80746E-02   0.45195E-03   0.43077E-01       0.16     162.32     0.0000  0.00   0.10914E+00   0.64367E+01    11.2262    11.2684    11.3279    11.3635    11.4002
   2018      7     20   12.00       456.00   0.11350E+02   0.00000E+00   0.11350E+02   0.11494E+02   0.11565E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.21246E+02   0.47185E+02  -0.11401E+03  -0.54526E+02   0.50164E-02   0.88288E-04   0.50730E-02       0.17     163.01     0.0000  0.00   0.73443E-01   0.16338E+01    11.4625    11.4991    11.5118    11.5211    11.5625
   2018      7     21   12.00       480.00   0.11611E+02   0.00000E+00   0.11611E+02   0.11709E+02   0.11768E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.14558E+02   0.35356E+02  -0.92708E+02  -0.43482E+02   0.35973E-02   0.48460E-04   0.19962E-02       0.17     137.45     0.0000  0.00   0.18321E-01  -0.92492E+00    11.6857    11.7131    11.7224    11.7297    11.7675
   2018      7     22   12.00       504.00   0.11708E+02   0.00000E+00   0.11708E+02   0.11819E+02   0.11871E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.15320E+02   0.31849E+02  -0.79504E+02  -0.34238E+02   0.46956E-02   0.10033E-03   0.79627E-02       0.17     111.38     0.0000  0.00   0.61878E-01   0.14555E+00    11.7957    11.8234    11.8329    11.8392    11.8700
   2018      7     23   12.00       528.00   0.11563E+02   0.00000E+00   0.11563E+02   0.11703E+02   0.11767E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.18229E+02   0.44115E+02  -0.90424E+02  -0.39074E+02   0.80926E-02   0.45884E-03   0.33251E-01       0.17     119.50     0.0000  0.00   0.17405E+00   0.48778E+01    11.6731    11.6998    11.7256    11.7372    11.7636
   2018      7     24   12.00       552.00   0.11855E+02   0.00000E+00   0.11855E+02   0.11979E+02   0.12043E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.12754E+02   0.45857E+02  -0.10021E+03  -0.53412E+02   0.54937E-02   0.15924E-03   0.97402E-02       0.17     170.81     0.0000  0.00   0.53041E-01   0.29135E+01    11.9528    11.9824    11.9936    12.0016    12.0402
   2018      7     25   12.00       576.00   0.12940E+02   0.00000E+00   0.12940E+02   0.12985E+02   0.13045E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.46659E+01   0.24845E+02  -0.81350E+02  -0.54796E+02   0.22764E-02   0.17095E-04   0.36165E-03       0.17     200.05     0.0000  0.00  -0.87866E-02   0.95341E-01    12.9729    12.9854    12.9905    12.9979    13.0453
   2018      7     26   12.00       600.00   0.14006E+02   0.00000E+00   0.14006E+02   0.14087E+02   0.14145E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.16760E+01   0.42133E+02  -0.87722E+02  -0.47614E+02   0.43001E-02   0.48543E-04   0.26511E-02       0.17     187.25     0.0000  0.00  -0.42338E-01  -0.14499E+01    14.0677    14.0891    14.0970    14.1042    14.1441
   2018      7     27   12.00       624.00   0.14868E+02   0.00000E+00   0.14868E+02   0.14906E+02   0.14946E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.12685E+01   0.27754E+02  -0.60145E+02  -0.29882E+02   0.32320E-02   0.25243E-04   0.82264E-03       0.17     140.73     0.0000  0.00   0.82989E-02  -0.81611E+00    14.8954    14.9074    14.9118    14.9165    14.9458
   2018      7     28   12.00       648.00   0.15183E+02   0.00000E+00   0.15183E+02   0.15246E+02   0.15282E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.72958E+01   0.31505E+02  -0.64054E+02  -0.23068E+02   0.37883E-02   0.27766E-04   0.11408E-02       0.17     111.54     0.0000  0.00   0.49681E-01  -0.39414E+00    15.2296    15.2486    15.2543    15.2587    15.2822
   2018      7     29   12.00       672.00   0.15219E+02   0.00000E+00   0.15219E+02   0.15297E+02   0.15339E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.13350E+02   0.35899E+02  -0.74717E+02  -0.26215E+02   0.39912E-02   0.33923E-04   0.13967E-02       0.17     111.61     0.0000  0.00   0.58034E-01  -0.85924E-01    15.2781    15.3013    15.3083    15.3133    15.3382
   2018      7     30   12.00       696.00   0.15273E+02   0.00000E+00   0.15273E+02   0.15345E+02   0.15389E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.13758E+02   0.34025E+02  -0.74072E+02  -0.31444E+02   0.34370E-02   0.28932E-04   0.95279E-03       0.17     125.58     0.0000  0.00   0.29469E-01   0.68558E+00    15.3267    15.3481    15.3547    15.3601    15.3888
   2018      7     31   12.00       720.00   0.15451E+02   0.00000E+00   0.15451E+02   0.15554E+02   0.15602E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.19013E+02   0.43170E+02  -0.91927E+02  -0.33574E+02   0.39627E-02   0.44226E-04   0.23283E-02       0.17     128.86     0.0000  0.00   0.50541E-01   0.35915E+00    15.5309    15.5586    15.5668    15.5729    15.6014
   2018      8      1   12.00       744.00   0.14685E+02   0.00000E+00   0.14685E+02   0.14900E+02   0.14956E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.32287E+02   0.65341E+02  -0.12476E+03  -0.33646E+02   0.72703E-02   0.25129E-03   0.18302E-01       0.17      99.97     0.0000  0.00   0.19317E+00   0.13774E+00    14.8627    14.9093    14.9215    14.9278    14.9493
   2018      8      2   12.00       768.00   0.13569E+02   0.00000E+00   0.13569E+02   0.13825E+02   0.13889E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.30748E+02   0.57873E+02  -0.11821E+03  -0.37858E+02   0.75358E-02   0.36682E-03   0.27294E-01       0.18      96.77     0.0000  0.00   0.15317E+00   0.37896E+01    13.7820    13.8369    13.8504    13.8569    13.8816
   2018      8      3   12.00       792.00   0.12890E+02   0.00000E+00   0.12890E+02   0.13131E+02   0.13202E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.26815E+02   0.64176E+02  -0.12594E+03  -0.49033E+02   0.84087E-02   0.64034E-03   0.44169E-01       0.18     126.43     0.0000  0.00   0.15399E-01   0.72011E+01    13.0937    13.1365    13.1551    13.1645    13.1928
   2018      8      4   12.00       816.00   0.12618E+02   0.00000E+00   0.12618E+02   0.12868E+02   0.12945E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.25248E+02   0.59633E+02  -0.12841E+03  -0.59833E+02   0.81907E-02   0.53042E-03   0.41484E-01       0.18     165.30     0.0000  0.00   0.60184E-01   0.65672E+01    12.8267    12.8716    12.8938    12.9040    12.9379
   2018      8      5   12.00       840.00   0.12437E+02   0.00000E+00   0.12437E+02   0.12821E+02   0.13268E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.30546E+02   0.74528E+02  -0.16027E+03  -0.60903E+02   0.76822E-02   0.23804E-03   0.30483E-01       0.18     184.69     0.0000  0.00   0.93136E-01   0.56188E+01    12.6519    12.6989    12.9646    13.2281    13.2642
   2018      8      6   12.00       864.00   0.12124E+02   0.00000E+00   0.12124E+02   0.12493E+02   0.12978E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.25221E+02   0.71358E+02  -0.16421E+03  -0.80288E+02   0.56784E-02   0.11288E-03   0.10117E-01       0.18     214.80     0.0000  0.00  -0.14006E-01   0.33378E+01    12.3305    12.3909    12.5770    12.9233    12.9676
   2018      8      7   12.00       888.00   0.12917E+02   0.00000E+00   0.12917E+02   0.13093E+02   0.13175E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.21129E+02   0.54742E+02  -0.15740E+03  -0.85470E+02   0.42981E-02   0.65361E-04   0.26202E-02       0.18     255.52     0.0000  0.00  -0.28326E-01   0.16361E+01    13.0552    13.0990    13.1130    13.1254    13.1707
   2018      8      8   12.00       912.00   0.13699E+02   0.00000E+00   0.13699E+02   0.13865E+02   0.13940E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.20052E+02   0.56931E+02  -0.15527E+03  -0.78395E+02   0.42816E-02   0.59820E-04   0.22964E-02       0.18     247.94     0.0000  0.00  -0.42541E-01   0.13464E+01    13.8293    13.8705    13.8836    13.8951    13.9366
   2018      8      9   12.00       936.00   0.14131E+02   0.00000E+00   0.14131E+02   0.14275E+02   0.14336E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.19876E+02   0.50752E+02  -0.13016E+03  -0.56491E+02   0.42733E-02   0.56137E-04   0.21453E-02       0.18     183.64     0.0000  0.00  -0.49519E-01   0.11612E+01    14.2432    14.2810    14.2928    14.3021    14.3335
   2018      8     10   12.00       960.00   0.13920E+02   0.00000E+00   0.13920E+02   0.14063E+02   0.14117E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.20723E+02   0.46660E+02  -0.10372E+03  -0.35943E+02   0.48853E-02   0.82010E-04   0.40874E-02       0.18     112.07     0.0000  0.00  -0.63933E-01   0.15672E+01    14.0322    14.0693    14.0803    14.0872    14.1133
   2018      8     11   12.00       984.00   0.13236E+02   0.00000E+00   0.13236E+02   0.13433E+02   0.13493E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.25187E+02   0.50113E+02  -0.10864E+03  -0.35644E+02   0.59157E-02   0.13170E-03   0.89458E-02       0.18      95.91     0.0000  0.00  -0.96967E-01   0.21904E+01    13.3949    13.4423    13.4554    13.4625    13.4875
   2018      8     12   12.00      1008.00   0.12457E+02   0.00000E+00   0.12457E+02   0.12685E+02   0.12755E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.26618E+02   0.55621E+02  -0.12032E+03  -0.43481E+02   0.58921E-02   0.15402E-03   0.97276E-02       0.18     107.75     0.0000  0.00  -0.61528E-01   0.28897E+01    12.6411    12.6953    12.7095    12.7176    12.7462
   2018      8     13   12.00      1032.00   0.12245E+02   0.00000E+00   0.12245E+02   0.12355E+02   0.12411E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.17207E+02   0.31718E+02  -0.83587E+02  -0.39949E+02   0.32219E-02   0.51896E-04   0.32890E-02       0.19     108.16     0.0000  0.00   0.70324E-02  -0.30695E-01    12.3299    12.3592    12.3685    12.3753    12.4098
   2018      8     14   12.00      1056.00   0.12288E+02   0.00000E+00   0.12288E+02   0.12389E+02   0.12444E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.19752E+02   0.32606E+02  -0.85683E+02  -0.41386E+02   0.37774E-02   0.70772E-04   0.31977E-02       0.19     118.83     0.0000  0.00  -0.19802E-01  -0.58206E+00    12.3659    12.3920    12.4011    12.4080    12.4425
   2018      8     15   12.00      1080.00   0.12273E+02   0.00000E+00   0.12273E+02   0.12426E+02   0.12493E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.22710E+02   0.47454E+02  -0.11173E+03  -0.48448E+02   0.41188E-02   0.57519E-04   0.28945E-02       0.19     137.92     0.0000  0.00  -0.39021E-02   0.12525E+01    12.3926    12.4333    12.4451    12.4535    12.4919
   2018      8     16   12.00      1104.00   0.12225E+02   0.00000E+00   0.12225E+02   0.12325E+02   0.12384E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.14715E+02   0.38218E+02  -0.95067E+02  -0.44477E+02   0.32324E-02   0.36113E-04   0.13216E-02       0.19     127.33     0.0000  0.00   0.24435E-01  -0.22510E+00    12.3007    12.3293    12.3387    12.3461    12.3831
   2018      8     17   12.00      1128.00   0.12351E+02   0.00000E+00   0.12351E+02   0.12425E+02   0.12468E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.71638E+01   0.27247E+02  -0.60158E+02  -0.31365E+02   0.49102E-02   0.90938E-04   0.46590E-02       0.19      96.64     0.0000  0.00  -0.39718E-01  -0.21805E+01    12.4073    12.4264    12.4346    12.4398    12.4669
   2018      8     18   12.00      1152.00   0.13019E+02   0.00000E+00   0.13019E+02   0.13015E+02   0.13044E+02   0.00000E+00   0.00000E+00   0.74712E+01  -0.67761E+00   0.64883E+01  -0.24199E+02  -0.24479E+02   0.36970E-02   0.28026E-04   0.16220E-02       0.19      98.14     0.0000  0.00  -0.12887E-01  -0.12590E+01    13.0168    13.0125    13.0117    13.0157    13.0443
   2018      8     19   12.00      1176.00   0.13878E+02   0.00000E+00   0.13878E+02   0.13906E+02   0.13944E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.29768E+01   0.16723E+02  -0.45634E+02  -0.28429E+02   0.33379E-02   0.18074E-04   0.87410E-03       0.19     120.02     0.0000  0.00   0.18416E-01  -0.92461E+00    13.8991    13.9062    13.9085    13.9135    13.9441
   2018      8     20   12.00      1200.00   0.14407E+02   0.00000E+00   0.14407E+02   0.14453E+02   0.14496E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.80902E+01   0.22441E+02  -0.64033E+02  -0.32096E+02   0.31127E-02   0.21883E-04   0.49051E-03       0.19     128.56     0.0000  0.00   0.30281E-01  -0.30843E+00    14.4395    14.4551    14.4603    14.4655    14.4961
   2018      8     21   12.00      1224.00   0.14521E+02   0.00000E+00   0.14521E+02   0.14653E+02   0.14704E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.17107E+02   0.38470E+02  -0.88796E+02  -0.30756E+02   0.53369E-02   0.77532E-04   0.61826E-02       0.19     112.45     0.0000  0.00   0.10539E+00  -0.42091E-01    14.6254    14.6595    14.6690    14.6750    14.7007
   2018      8     22   12.00      1248.00   0.13885E+02   0.00000E+00   0.13885E+02   0.14037E+02   0.14082E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.22275E+02   0.48475E+02  -0.97089E+02  -0.27746E+02   0.80850E-02   0.43341E-03   0.26789E-01       0.19      80.20     0.0000  0.00   0.24179E+00   0.63493E+00    14.0098    14.0427    14.0535    14.0587    14.0774
   2018      8     23   12.00      1272.00   0.13081E+02   0.00000E+00   0.13081E+02   0.13242E+02   0.13286E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.21041E+02   0.40556E+02  -0.81151E+02  -0.24337E+02   0.84093E-02   0.50006E-03   0.35668E-01       0.20      59.47     0.0000  0.00   0.24012E+00   0.30491E+01    13.2157    13.2477    13.2579    13.2638    13.2813
   2018      8     24   12.00      1296.00   0.12653E+02   0.00000E+00   0.12653E+02   0.12743E+02   0.12785E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.13713E+02   0.28630E+02  -0.61318E+02  -0.27345E+02   0.57361E-02   0.14779E-03   0.81040E-02       0.20      72.69     0.0000  0.00   0.11247E+00   0.51837E+00    12.7221    12.7454    12.7546    12.7597    12.7840
   2018      8     25   12.00      1320.00   0.12955E+02   0.00000E+00   0.12955E+02   0.13012E+02   0.13059E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.94587E+01   0.20136E+02  -0.60506E+02  -0.35042E+02   0.30086E-02   0.28778E-04   0.16537E-02       0.20     113.02     0.0000  0.00  -0.79828E-02  -0.19746E+00    12.9975    13.0140    13.0200    13.0257    13.0590
   2018      8     26   12.00      1344.00   0.12830E+02   0.00000E+00   0.12830E+02   0.13033E+02   0.13097E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.22274E+02   0.56179E+02  -0.11537E+03  -0.42439E+02   0.64691E-02   0.20171E-03   0.14275E-01       0.20     121.16     0.0000  0.00  -0.96728E-01   0.30570E+01    12.9954    13.0417    13.0551    13.0625    13.0908
   2018      8     27   12.00      1368.00   0.12366E+02   0.00000E+00   0.12366E+02   0.12521E+02   0.12580E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.18218E+02   0.42038E+02  -0.90204E+02  -0.35940E+02   0.52670E-02   0.11236E-03   0.79020E-02       0.20      95.01     0.0000  0.00   0.45986E-01   0.18488E+01    12.4887    12.5284    12.5403    12.5473    12.5765
   2018      8     28   12.00      1392.00   0.12034E+02   0.00000E+00   0.12034E+02   0.12141E+02   0.12182E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.20083E+02   0.31386E+02  -0.71769E+02  -0.26685E+02   0.73699E-02   0.31487E-03   0.18289E-01       0.20      65.24     0.0000  0.00   0.19540E+00   0.12972E+01    12.1193    12.1441    12.1542    12.1590    12.1793
   2018      8     29   12.00      1416.00   0.11709E+02   0.00000E+00   0.11709E+02   0.11812E+02   0.11858E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.14326E+02   0.26802E+02  -0.63071E+02  -0.27654E+02   0.59474E-02   0.12887E-03   0.89220E-02       0.20      70.15     0.0000  0.00   0.12599E+00   0.55301E+00    11.7885    11.8164    11.8262    11.8315    11.8566
   2018      8     30   12.00      1440.00   0.11654E+02   0.00000E+00   0.11654E+02   0.11761E+02   0.11815E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.13117E+02   0.29942E+02  -0.78310E+02  -0.38178E+02   0.54994E-02   0.92496E-04   0.61015E-02       0.20     105.63     0.0000  0.00   0.92609E-01  -0.15227E+01    11.7359    11.7653    11.7762    11.7830    11.8133
   2018      8     31   12.00      1464.00   0.11949E+02   0.00000E+00   0.11949E+02   0.12013E+02   0.12065E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.93440E+01   0.19440E+02  -0.72451E+02  -0.38910E+02   0.25693E-02   0.25651E-04   0.91811E-03       0.20     118.78     0.0000  0.00   0.29790E-02  -0.17723E+00    11.9970    12.0152    12.0222    12.0286    12.0648
   2018      9      1   12.00      1488.00   0.11865E+02   0.00000E+00   0.11865E+02   0.11988E+02   0.12044E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.17446E+02   0.32754E+02  -0.88505E+02  -0.33877E+02   0.40463E-02   0.47038E-04   0.19656E-02       0.21      94.29     0.0000  0.00  -0.23303E-01   0.13379E+01    11.9586    11.9928    12.0041    12.0114    12.0430
   2018      9      2   12.00      1512.00   0.11438E+02   0.00000E+00   0.11438E+02   0.11557E+02   0.11610E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.17270E+02   0.28528E+02  -0.77451E+02  -0.30054E+02   0.37767E-02   0.36290E-04   0.14781E-02       0.21      75.25     0.0000  0.00   0.31859E-01   0.10738E+01    11.5279    11.5624    11.5730    11.5797    11.6097
   2018      9      3   12.00      1536.00   0.11131E+02   0.00000E+00   0.11131E+02   0.11240E+02   0.11296E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.16373E+02   0.28254E+02  -0.77434E+02  -0.32663E+02   0.40700E-02   0.34083E-04   0.16008E-02       0.21      82.01     0.0000  0.00   0.59023E-01   0.36394E+00    11.2126    11.2458    11.2562    11.2633    11.2957
   2018      9      4   12.00      1560.00   0.10969E+02   0.00000E+00   0.10969E+02   0.11065E+02   0.11119E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.13053E+02   0.24534E+02  -0.71811E+02  -0.32606E+02   0.38095E-02   0.38030E-04   0.17571E-02       0.21      84.52     0.0000  0.00   0.29932E-01  -0.93019E+00    11.0399    11.0695    11.0791    11.0858    11.1182
   2018      9      5   12.00      1584.00   0.10736E+02   0.00000E+00   0.10736E+02   0.10839E+02   0.10886E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.14685E+02   0.26650E+02  -0.69898E+02  -0.27938E+02   0.55763E-02   0.12851E-03   0.74068E-02       0.21      66.93     0.0000  0.00   0.83779E-01  -0.17064E+01    10.8149    10.8420    10.8534    10.8590    10.8847
   2018      9      6   12.00      1608.00   0.10409E+02   0.00000E+00   0.10409E+02   0.10507E+02   0.10555E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.11882E+02   0.25238E+02  -0.62732E+02  -0.27137E+02   0.54979E-02   0.16165E-03   0.95714E-02       0.21      63.40     0.0000  0.00   0.53705E-01   0.18013E+01    10.4847    10.5106    10.5210    10.5268    10.5525
   2018      9      7   12.00      1632.00   0.10261E+02   0.00000E+00   0.10261E+02   0.10351E+02   0.10399E+02   0.00000E+00   0.00000E+00   0.74712E+01   0.88926E+01   0.27323E+02  -0.61818E+02  -0.29689E+02   0.49363E-02   0.16281E-03   0.81111E-02       0.21      73.95     0.0000  0.00   0.39756E-01   0.10327E+01    10.3292    10.3540    10.3631    10.3690    10.3973
